0910050306
Date,Sensor1 (S1),Sensor2 (S2),Level (AI_1),Level (AI_2),Level (AI_3),FlowMeter Total (DI_B),FlowMeter Total (DI_2)
08/05/2011 13:45:01,   942.32,  230.50,      12,      76,      33,      5200.00,     31000.00
08/05/2011 13:55:01,   933.81,  237.28,      12,      76,      33,      5200.00,     32100.00
08/05/2011 14:05:01,   939.76,  223.82,      12,      76,      33,      5200.00,     32100.00
08/05/2011 14:15:01,   946.05,  209.71,      12,      76,      33,      5200.00,     32100.00
08/05/2011 14:25:01,   951.30,  202.00,      12,      76,      33,      5200.00,     32100.00
08/05/2011 14:35:01,   956.14,  197.83,      12,      75,      33,      5200.00,     32100.00
08/05/2011 14:45:01,   961.79,  195.57,      12,      75,      33,      5200.00,     32100.00
08/05/2011 14:55:01,   966.41,  194.55,      12,      76,      33,      5200.00,     32100.00
08/05/2011 15:05:01,   971.96,  193.41,      12,      76,      33,      5200.00,     32100.00
08/05/2011 15:15:01,   977.31,  193.03,      12,      76,      33,      5400.00,     32200.00
08/05/2011 15:25:01,   965.12,  198.76,      12,      75,      33,      5900.00,     33700.00
08/05/2011 15:35:01,   955.00,  209.38,      12,      75,      33,      6300.00,     35200.00
08/05/2011 15:45:01,   945.74,  219.71,      12,      76,      33,      6600.00,     36800.00
08/05/2011 15:55:01,   935.76,  228.49,      12,      75,      33,      6600.00,     38200.00
08/05/2011 16:05:01,   939.84,  225.64,      12,      75,      33,      6600.00,     38200.00
08/05/2011 16:15:01,   944.21,  216.53,      12,      75,      33,      6600.00,     38200.00
08/05/2011 16:25:01,   949.54,  209.43,      12,      75,      33,      6600.00,     38200.00
08/05/2011 16:35:01,   954.59,  204.57,      12,      76,      33,      6600.00,     38200.00
08/05/2011 16:45:01,   959.36,  201.03,      12,      76,      33,      6600.00,     38200.00
08/05/2011 16:55:01,   963.73,  199.30,      12,      76,      33,      6600.00,     38200.00
08/05/2011 17:05:01,   967.41,  197.51,      12,      76,      33,      6600.00,     38200.00
08/05/2011 17:15:01,   970.20,  196.60,      12,      76,      33,      6600.00,     38200.00
08/05/2011 17:25:01,   974.31,  195.53,      12,      76,      33,      6600.00,     38200.00
08/05/2011 17:35:01,   978.61,  195.14,      12,      76,      33,      7000.00,     38200.00
08/05/2011 17:45:01,   982.53,  194.46,      12,      76,      33,      7500.00,     38200.00
08/05/2011 17:55:01,   985.83,  194.30,      12,      76,      33,      8000.00,     38300.00
08/05/2011 18:05:01,   972.49,  198.77,      12,      76,      33,      8500.00,     39800.00
08/05/2011 18:15:01,   961.65,  210.53,      12,      76,      33,      9000.00,     41300.00
08/05/2011 18:25:01,   947.54,  226.00,      11,      76,      33,      9400.00,     42800.00
08/05/2011 18:35:02,   937.91,  236.91,      12,      76,      33,      9400.00,     44200.00
08/05/2011 18:45:01,   937.32,  239.08,      11,      76,      33,      9400.00,     44200.00
08/05/2011 18:55:01,   939.99,  229.64,      11,      75,      33,      9400.00,     44200.00
08/05/2011 19:05:01,   942.45,  221.49,      11,      76,      33,      9400.00,     44200.00
08/05/2011 19:15:01,   944.77,  214.40,      11,      75,      33,      9400.00,     44200.00
08/05/2011 19:25:01,   947.46,  209.30,      11,      75,      33,      9400.00,     44200.00
08/05/2011 19:35:01,   950.98,  205.39,      11,      75,      33,      9400.00,     44200.00
08/05/2011 19:45:01,   952.73,  202.33,      12,      76,      33,      9400.00,     44200.00
08/05/2011 19:55:01,   955.10,  200.16,      12,      76,      33,      9400.00,     44200.00
08/05/2011 20:05:01,   957.53,  198.63,      12,      75,      33,      9400.00,     44200.00
08/05/2011 20:15:01,   959.63,  197.33,      12,      75,      33,      9400.00,     44200.00
08/05/2011 20:25:01,   961.08,  196.44,      12,      76,      33,      9400.00,     44200.00
08/05/2011 20:35:01,   963.65,  194.96,      12,      76,      33,      9400.00,     44200.00
08/05/2011 20:45:01,   966.00,  194.36,      12,      76,      33,      9400.00,     44200.00
08/05/2011 20:55:01,   967.50,  193.17,      11,      76,      33,      9400.00,     44200.00
08/05/2011 21:05:01,   969.42,  192.90,      11,      76,      33,      9400.00,     44200.00
08/05/2011 21:15:01,   971.42,  192.45,      11,      76,      33,      9400.00,     44200.00
08/05/2011 21:25:01,   972.33,  192.20,      11,      76,      33,      9400.00,     44200.00
08/05/2011 21:35:01,   973.38,  191.60,      11,      76,      33,      9400.00,     44200.00
08/05/2011 21:45:01,   974.47,  191.18,      11,      76,      33,      9400.00,     44200.00
08/05/2011 21:55:01,   975.25,  191.02,      12,      76,      33,      9700.00,     44900.00
08/05/2011 22:05:01,   956.47,  201.44,      12,      76,      33,     10200.00,     46400.00
08/05/2011 22:15:01,   943.64,  215.70,      11,      76,      33,     10400.00,     47900.00
08/05/2011 22:25:01,   929.76,  232.44,      11,      76,      33,     10400.00,     48800.00
08/05/2011 22:35:01,   934.32,  233.53,      11,      76,      33,     10400.00,     48800.00
08/05/2011 22:45:01,   935.44,  228.67,      11,      76,      33,     10400.00,     48800.00
08/05/2011 22:55:01,   937.66,  221.00,      11,      76,      33,     10400.00,     48800.00
08/05/2011 23:05:01,   938.69,  213.47,      11,      76,      33,     10400.00,     48800.00
08/05/2011 23:15:01,   940.95,  207.54,      11,      76,      33,     10400.00,     48800.00
08/05/2011 23:25:01,   941.96,  203.39,      11,      76,      33,     10400.00,     48800.00
08/05/2011 23:35:01,   943.78,  199.96,      11,      76,      33,     10400.00,     48800.00
08/05/2011 23:45:01,   945.52,  197.51,      11,      76,      33,     10400.00,     48800.00
08/05/2011 23:55:01,   946.86,  195.25,      11,      76,      33,     10400.00,     48800.00
08/06/2011 00:05:01,   948.74,  194.26,      12,      76,      33,         0.00,         0.00
08/06/2011 00:15:01,   949.71,  193.06,      12,      76,      33,         0.00,         0.00
08/06/2011 00:25:01,   951.74,  192.47,      12,      76,      33,         0.00,         0.00
08/06/2011 00:35:01,   953.15,  191.96,      11,      76,      33,         0.00,         0.00
08/06/2011 00:45:01,   954.90,  191.21,      12,      76,      33,         0.00,         0.00
08/06/2011 00:55:01,   955.93,  191.05,      12,      76,      33,         0.00,         0.00
08/06/2011 01:05:01,   957.56,  190.68,      12,      76,      33,         0.00,         0.00
08/06/2011 01:15:02,   958.76,  190.41,      11,      76,      33,         0.00,         0.00
08/06/2011 01:25:01,   960.21,  190.31,      11,      76,      33,         0.00,         0.00
08/06/2011 01:35:01,   961.67,  190.41,      12,      76,      33,         0.00,         0.00
08/06/2011 01:45:01,   963.03,  190.68,      12,      76,      33,         0.00,         0.00
08/06/2011 01:55:01,   965.12,  190.74,      12,      76,      33,         0.00,         0.00
08/06/2011 02:05:01,   966.64,  191.04,      12,      76,      33,         0.00,         0.00
08/06/2011 02:15:01,   968.02,  191.55,      12,      76,      33,         0.00,         0.00
08/06/2011 02:25:01,   969.30,  191.99,      11,      76,      33,         0.00,         0.00
08/06/2011 02:35:01,   970.12,  192.06,      12,      76,      33,         0.00,         0.00
08/06/2011 02:45:01,   971.50,  192.26,      12,      76,      33,         0.00,         0.00
08/06/2011 02:55:01,   972.44,  192.55,      12,      76,      33,         0.00,         0.00
08/06/2011 03:05:01,   973.81,  192.53,      12,      76,      33,         0.00,         0.00
08/06/2011 03:15:01,   975.58,  192.66,      11,      76,      33,       200.00,         0.00
08/06/2011 03:25:01,   975.44,  192.31,      11,      76,      33,       700.00,       700.00
08/06/2011 03:35:01,   953.80,  202.31,      11,      76,      33,      1200.00,      2200.00
08/06/2011 03:45:01,   942.24,  216.44,      11,      76,      33,      1300.00,      3800.00
08/06/2011 03:55:01,   931.88,  230.77,      11,      76,      33,      1300.00,      4400.00
08/06/2011 04:05:01,   936.26,  229.62,      11,      76,      33,      1300.00,      4400.00
08/06/2011 04:15:01,   937.40,  224.47,      11,      76,      33,      1300.00,      4400.00
08/06/2011 04:25:01,   938.82,  217.62,      11,      76,      33,      1300.00,      4400.00
08/06/2011 04:35:02,   939.73,  210.29,      11,      76,      33,      1300.00,      4400.00
08/06/2011 04:45:01,   941.46,  205.61,      11,      76,      33,      1300.00,      4400.00
08/06/2011 04:55:01,   942.34,  202.37,      11,      76,      33,      1300.00,      4400.00
08/06/2011 05:05:01,   944.05,  199.56,      11,      76,      33,      1300.00,      4400.00
08/06/2011 05:15:01,   945.05,  197.51,      11,      76,      33,      1300.00,      4400.00
08/06/2011 05:25:01,   946.34,  196.37,      11,      76,      33,      1300.00,      4400.00
08/06/2011 05:35:01,   947.32,  194.83,      11,      76,      33,      1300.00,      4400.00
08/06/2011 05:45:01,   948.56,  194.41,      11,      76,      33,      1300.00,      4400.00
08/06/2011 05:55:01,   949.75,  193.66,      11,      76,      33,      1300.00,      4400.00
08/06/2011 06:05:01,   950.55,  193.35,      11,      76,      33,      1300.00,      4400.00
08/06/2011 06:15:01,   951.22,  192.77,      11,      76,      33,      1300.00,      4400.00
08/06/2011 06:25:01,   952.11,  192.69,      11,      76,      33,      1300.00,      4400.00
08/06/2011 06:35:01,   953.68,  191.98,      11,      76,      33,      1300.00,      4400.00
08/06/2011 06:45:01,   955.19,  191.87,      11,      76,      33,      1300.00,      4400.00
08/06/2011 06:55:01,   956.87,  191.24,      11,      76,      33,      1300.00,      4400.00
08/06/2011 07:05:01,   959.56,  190.88,      11,      76,      33,      1300.00,      4400.00
08/06/2011 07:15:01,   962.36,  187.69,      11,      76,      33,      1300.00,      4400.00
08/06/2011 07:25:01,   966.31,  187.73,      11,      76,      33,      1300.00,      4400.00
08/06/2011 07:35:01,   970.16,  187.66,      11,      76,      33,      1300.00,      4400.00
08/06/2011 07:45:01,   972.73,  188.52,      11,      76,      33,      1300.00,      4400.00
08/06/2011 07:55:02,   974.64,  188.60,      11,      76,      33,      1300.00,      4400.00
08/06/2011 08:05:01,   977.89,  188.74,      11,      75,      33,      1700.00,      4400.00
08/06/2011 08:15:01,   975.67,  189.75,      11,      76,      33,      2200.00,      5400.00
08/06/2011 08:25:01,   956.99,  201.13,      11,      76,      33,      2700.00,      7000.00
08/06/2011 08:35:01,   942.76,  212.68,      11,      76,      33,      3200.00,      8500.00
08/06/2011 08:45:01,   930.90,  223.00,      10,      76,      33,      3700.00,     10100.00
08/06/2011 08:55:01,   918.41,  232.93,      11,      75,      33,      3800.00,     11000.00
08/06/2011 09:05:01,   925.81,  308.33,      10,      75,      33,      3800.00,     11000.00
08/06/2011 09:15:01,   929.67,  357.89,      11,      75,      33,      3800.00,     11000.00
08/06/2011 09:25:01,   932.86,  386.97,      11,      75,      33,      3800.00,     11000.00
08/06/2011 09:35:01,   936.55,  412.29,      11,      75,      33,      3800.00,     11000.00
08/06/2011 09:45:01,   940.03,  383.54,      11,      75,      33,      3800.00,     11000.00
08/06/2011 09:55:01,   942.97,  324.89,      11,      75,      33,      3800.00,     11000.00
08/06/2011 10:05:01,   945.58,  292.95,      11,      75,      33,      3800.00,     11000.00
08/06/2011 10:15:01,   948.60,  269.77,      11,      75,      33,      3800.00,     11000.00
08/06/2011 10:25:01,   952.12,  247.63,      11,      75,      33,      3800.00,     11000.00
08/06/2011 10:35:01,   955.65,  231.87,      11,      75,      33,      3800.00,     11000.00
08/06/2011 10:45:01,   959.14,  221.24,      10,      75,      33,      3800.00,     11000.00
08/06/2011 10:55:01,   963.04,  214.83,      10,      75,      33,      3800.00,     11000.00
08/06/2011 11:05:01,   966.41,  211.16,      11,      75,      33,      3800.00,     11400.00
08/06/2011 11:15:01,   953.65,  213.54,      10,      75,      33,      3800.00,     13000.00
08/06/2011 11:25:01,   942.15,  223.62,      10,      75,      33,      3800.00,     14400.00
08/06/2011 11:35:01,   941.13,  228.40,      10,      75,      33,      3800.00,     14400.00
08/06/2011 11:45:01,   944.91,  222.66,      10,      75,      33,      3800.00,     14400.00
08/06/2011 11:55:01,   948.93,  216.24,      10,      75,      33,      3800.00,     14400.00
08/06/2011 12:05:01,   952.06,  212.55,      10,      75,      33,      3800.00,     14400.00
08/06/2011 12:15:01,   955.88,  210.13,      10,      75,      33,      3800.00,     14400.00
08/06/2011 12:25:01,   959.76,  208.38,      10,      75,      33,      3800.00,     14400.00
08/06/2011 12:35:01,   963.53,  207.02,      10,      75,      33,      3800.00,     14400.00
08/06/2011 12:45:01,   967.47,  206.07,      10,      75,      33,      3800.00,     14400.00
08/06/2011 12:55:01,   971.69,  205.42,      10,      75,      33,      3800.00,     14400.00
08/06/2011 13:05:01,   974.61,  205.23,      11,      75,      33,      3800.00,     15100.00
08/06/2011 13:15:01,   958.56,  211.21,      10,      75,      33,      3800.00,     16700.00
08/06/2011 13:25:01,   944.86,  220.65,      10,      75,      33,      3800.00,     17800.00
08/06/2011 13:35:01,   950.88,  223.67,      10,      75,      33,      3800.00,     17800.00
08/06/2011 13:45:01,   954.61,  218.22,      10,      75,      33,      3800.00,     17800.00
08/06/2011 13:55:01,   958.51,  213.34,      10,      75,      33,      3800.00,     17800.00
08/06/2011 14:05:01,   961.74,  210.02,      10,      75,      33,      3800.00,     17800.00
08/06/2011 14:15:01,   965.75,  207.26,      10,      75,      33,      3800.00,     17800.00
08/06/2011 14:25:01,   969.36,  205.00,      10,      75,      33,      3800.00,     17800.00
08/06/2011 14:35:01,   973.10,  203.06,      10,      75,      33,      3800.00,     17800.00
08/06/2011 14:45:01,   977.53,  200.87,      10,      75,      33,      3800.00,     17800.00
08/06/2011 14:55:01,   981.11,  199.23,      10,      75,      32,      3800.00,     17800.00
08/06/2011 15:05:01,   985.44,  196.66,      10,      75,      32,      4000.00,     17800.00
08/06/2011 15:15:01,   976.07,  196.62,      10,      75,      32,      4500.00,     19100.00
08/06/2011 15:25:01,   964.79,  202.29,      10,      75,      32,      5000.00,     20700.00
08/06/2011 15:35:01,   951.17,  208.83,      10,      75,      33,      5500.00,     22200.00
08/06/2011 15:45:01,   940.74,  214.14,      10,      75,      32,      5500.00,     23700.00
08/06/2011 15:55:01,   932.71,  219.28,      10,      75,      32,      5500.00,     24300.00
08/06/2011 16:05:01,   938.81,  214.50,      10,      75,      32,      5500.00,     24300.00
08/06/2011 16:15:01,   942.69,  209.05,      10,      75,      32,      5500.00,     24300.00
08/06/2011 16:25:01,   945.20,  203.99,      10,      75,      32,      5500.00,     24300.00
08/06/2011 16:35:01,   948.89,  200.70,      10,      75,      33,      5500.00,     24300.00
08/06/2011 16:45:01,   951.86,  199.16,      10,      75,      32,      5500.00,     24300.00
08/06/2011 16:55:01,   955.58,  197.29,      10,      75,      32,      5500.00,     24300.00
08/06/2011 17:05:01,   957.07,  196.37,      10,      75,      32,      5500.00,     24300.00
08/06/2011 17:15:01,   959.00,  195.38,      10,      75,      32,      5500.00,     24300.00
08/06/2011 17:25:01,   961.11,  194.87,      10,      75,      32,      5500.00,     24300.00
08/06/2011 17:35:01,   963.72,  194.15,      10,      75,      32,      5500.00,     24300.00
08/06/2011 17:45:01,   966.17,  194.01,      10,      75,      32,      5500.00,     24300.00
08/06/2011 17:55:01,   968.22,  193.73,      10,      75,      32,      5500.00,     24300.00
08/06/2011 18:05:01,   969.79,  193.12,      10,      75,      32,      5500.00,     24300.00
08/06/2011 18:15:01,   971.14,  193.00,      10,      75,      32,      5500.00,     24300.00
08/06/2011 18:25:01,   971.20,  192.80,      10,      75,      32,      5500.00,     25300.00
