Date,Sensor1 (S1),Sensor2 (S2),Sensor3 (S3),Sensor Temperature1 (S1),Sensor Temperature2 (S2),Sensor Temperature3 (S3),Generic(AI_5),Level(AI_1),Level(AI_2),Level(AI_3),Level(AI_4),Level(AI_6),Level(AI_7),Level(AI_8),Paddlewheel FlowMeter Rate(DI_A),Paddlewheel FlowMeter Rate(DI_B),Paddlewheel FlowMeter Total(DI_A),Paddlewheel FlowMeter Total(DI_B)
10/31/2011 0:33,2158.75,8.57,282.64,76,72,77,13.98,100,44,149,278,55,112,276,430.64,0,145534352,36092724
10/31/2011 0:53,2148.88,8.6,274.93,76,72,77,13.72,100,44,149,276,55,112,276,0,0,145542704,36092724
10/31/2011 1:13,2182.08,8.51,275.18,76,72,77,13.67,100,44,149,277,55,111,275,0,0,145542704,36092724
10/31/2011 1:33,2209.91,8.51,269.4,76,72,77,14.12,100,44,149,278,55,112,275,0,114.04,145542704,36093948
10/31/2011 1:53,2233.52,8.57,259.75,75,71,77,14.21,100,44,149,277,55,112,276,0,127.84,145542704,36096400
10/31/2011 2:13,2209.17,8.58,255.21,75,71,77,14.38,100,44,149,279,75,112,276,426.78,127.01,145548368,36098824
10/31/2011 2:33,2186.71,8.5,255.77,76,71,77,13.94,100,44,149,278,79,112,276,415.61,0,145557904,36101048
10/31/2011 2:53,2157.5,8.52,249.78,76,72,77,13.27,100,44,149,278,55,112,275,417.34,0,145567536,36101048
10/31/2011 3:13,2136.11,8.57,241.82,76,72,77,13.14,100,44,149,279,55,112,275,0,0,145576256,36101048
10/31/2011 3:33,2170.22,8.57,238.78,76,73,77,13.67,100,44,149,276,55,112,275,0,0,145576256,36101048
10/31/2011 3:53,2204.84,8.5,239.12,76,71,77,13.58,100,44,149,275,67,112,276,0,108.51,145576256,36101292
10/31/2011 4:13,2242.43,8.52,730.01,76,71,77,13.98,97,44,147,275,55,112,274,0,95.26,145576256,36103744
10/31/2011 4:33,2232.3,8.57,609.71,75,71,77,14.38,96,44,146,275,54,112,274,419.27,109.16,145579472,36106172
10/31/2011 4:53,2192.37,8.59,442.81,76,72,77,13.98,96,44,146,275,54,112,273,430.64,107.85,145589104,36108580
10/31/2011 5:13,2160.13,8.6,386,76,72,77,13.72,96,44,146,274,54,112,274,421.19,0,145598832,36108688
10/31/2011 5:33,2149.29,8.52,371.42,76,72,77,13.72,96,44,146,278,54,111,273,0,0,145607616,36108688
10/31/2011 5:53,2178.96,8.55,355.6,76,73,77,14.07,96,44,146,275,54,111,274,0,0,145607616,36108688
10/31/2011 6:13,2200.73,8.61,337.74,76,72,77,14.25,96,44,146,273,54,111,273,0,128.84,145607616,36108808
10/31/2011 6:33,2237.55,8.53,333.78,75,71,77,14.47,96,43,146,275,54,111,274,0,117.81,145607616,36111288
10/31/2011 6:53,2237.35,8.5,327.46,75,71,77,14.78,96,43,146,274,54,111,273,430.64,118.53,145610224,36113748
10/31/2011 7:13,2196.33,8.55,314.9,75,71,77,14.56,97,43,146,275,54,111,273,424.86,120.95,145619936,36116176
10/31/2011 7:33,2166.11,8.59,303.2,75,71,77,14.25,96,43,146,275,54,110,274,408.29,0,145629664,36116716
10/31/2011 7:53,2143.08,8.56,299.99,76,72,77,13.94,96,43,146,275,54,111,273,428.9,0,145639424,36116716
10/31/2011 8:13,2181.4,8.51,295.94,77,73,77,14.25,96,43,146,280,54,111,273,0,0,145640096,36116716
10/31/2011 8:33,2203.58,8.57,287.32,76,72,77,14.25,96,44,146,278,54,110,273,0,126.97,145640096,36116960
10/31/2011 8:53,2229.34,8.57,279.55,75,71,77,14.87,96,44,146,280,54,110,273,0,129.77,145640096,36119448
10/31/2011 9:13,2237.94,8.49,280.66,75,71,77,14.78,96,43,146,278,53,110,273,408.48,101.18,145643040,36121936
10/31/2011 9:33,2197.31,8.54,270.42,76,71,77,14.47,96,43,146,279,54,111,273,432.56,108.51,145652704,36124356
10/31/2011 9:53,2159.72,8.58,263.12,76,72,77,14.34,96,43,146,280,54,111,274,421,0,145662416,36124748
10/31/2011 10:13,2132.8,8.6,257.11,76,72,77,13.98,96,43,146,278,54,110,274,393.06,0,145672176,36124748
10/31/2011 10:33,2165.42,8.54,256.98,77,73,77,13.85,96,43,146,279,54,110,273,0,0,145674512,36124748
10/31/2011 10:53,2197.82,8.5,255.26,76,72,77,14.16,96,43,146,278,54,110,273,0,0,145674512,36124748
10/31/2011 11:13,2219.27,8.57,245.45,75,71,77,14.56,96,43,146,280,116,110,273,0,114.04,145674512,36126916
10/31/2011 11:33,2249.02,8.58,241.5,76,72,77,14.83,97,43,146,275,54,110,274,432.95,108.51,145675232,36129416
10/31/2011 11:53,2207.04,8.5,244.38,76,71,77,14.38,96,43,146,274,53,110,274,421,116.29,145684944,36131848
10/31/2011 12:13,2187.69,8.49,728.06,76,72,77,13.94,94,43,144,278,53,110,272,360.12,0,145694544,36132804
10/31/2011 12:33,2159.06,8.54,603.46,76,71,77,13.94,93,43,143,279,53,110,271,388.25,0,145704112,36132804
10/31/2011 12:53,2150.82,8.58,433.26,76,72,77,13.94,93,43,144,279,53,110,271,0,0,145710720,36132804
10/31/2011 13:13,2180.59,8.56,384.52,76,73,77,14.25,93,43,143,278,54,110,272,0,0,145710720,36132804
10/31/2011 13:33,2213.39,8.5,370.99,76,72,77,14.65,92,43,143,278,53,110,271,0,134.65,145710720,36133748
10/31/2011 13:53,2235.4,8.57,350.62,76,71,77,14.83,93,43,143,280,53,109,271,0,129.74,145710720,36136228
10/31/2011 14:13,2234.93,8.58,336.45,75,71,77,15.23,93,43,143,275,53,110,271,434.87,109.85,145712160,36138704
10/31/2011 14:33,2219.21,8.51,332.06,75,71,77,15.01,93,43,143,276,53,109,271,377.46,101.18,145721872,36141132
10/31/2011 14:53,2187.67,8.56,321,76,73,77,14.78,92,43,143,275,53,110,271,382.08,0,145731552,36142844
10/31/2011 15:13,2150.76,8.58,309.09,76,72,77,14.56,93,43,143,275,53,109,271,415.41,0,145741264,36142844
10/31/2011 15:33,2142.79,8.59,303.51,76,73,77,14.3,92,43,143,275,53,109,271,0,0,145749664,36142844
10/31/2011 15:53,2173.89,8.56,298.25,76,72,77,14.52,93,43,143,275,53,108,271,0,0,145749664,36142844
10/31/2011 16:13,2209.94,8.5,302.21,76,71,77,14.65,93,43,144,276,53,108,271,0,116.25,145749664,36143596
10/31/2011 16:33,2233.96,8.55,293.39,76,71,77,15.01,93,43,143,274,53,108,271,0,106.57,145749664,36146076
10/31/2011 16:53,2221.13,8.58,286.78,75,71,77,14.96,93,43,143,275,52,108,270,430.64,103.53,145754208,36148540
10/31/2011 17:13,2185.49,8.59,282.13,75,71,77,14.61,93,42,143,275,52,109,271,419.27,0,145763872,36150148
10/31/2011 17:33,2148.4,8.59,277.12,75,71,77,14.34,93,42,143,275,51,108,271,411.95,0,145773520,36150148
10/31/2011 17:53,2124.46,8.59,272.63,76,72,77,14.03,93,43,143,273,52,109,271,415.41,0,145783216,36150148
10/31/2011 18:13,2155.55,8.55,272.95,77,73,77,13.89,93,42,143,273,52,108,271,0,0,145785312,36150148
10/31/2011 18:33,2190.09,8.48,276.41,76,72,77,14.38,93,42,143,275,52,108,271,0,0,145785312,36150148
10/31/2011 18:53,2212.67,8.55,268.56,76,71,77,14.65,92,42,143,278,52,108,271,0,111.93,145785312,36151692
10/31/2011 19:13,2240,8.59,261.18,76,72,77,14.47,93,42,142,278,52,108,271,0,101.14,145785312,36154156
10/31/2011 19:33,2208.6,8.58,258.91,75,71,77,14.74,93,42,143,278,52,108,271,426.78,127.01,145793072,36156588
10/31/2011 19:53,2187.61,8.5,262.09,76,71,77,14.25,93,42,143,278,52,108,271,430.64,0,145802672,36157924
10/31/2011 20:13,2163.39,8.49,705.18,76,72,77,14.07,91,42,141,275,52,108,269,417.53,0,145812224,36157924
10/31/2011 20:33,2157.47,8.54,603.65,76,72,77,14.03,90,42,139,274,52,107,269,0,0,145819456,36157924
10/31/2011 20:53,2178.08,8.58,444.72,76,73,77,14.3,90,42,139,273,52,108,269,0,0,145819456,36157924
10/31/2011 21:13,2204.14,8.59,384.79,76,72,77,14.56,90,42,139,279,52,107,269,0,96.75,145819456,36158164
10/31/2011 21:33,2243.92,8.52,370.55,76,72,77,14.74,89,42,140,278,51,108,268,0,135.62,145819456,36160636
10/31/2011 21:53,2249.98,8.53,355.47,76,71,77,15.36,89,42,139,278,51,108,268,419.27,121.78,145820592,36163092
10/31/2011 22:13,2217.98,8.57,340.71,75,71,77,15.01,89,42,139,273,51,108,268,415.61,108.51,145830240,36165504
10/31/2011 22:33,2177.97,8.6,328.39,76,72,77,14.87,89,42,139,275,51,108,269,417.34,0,145839888,36167328
10/31/2011 22:53,2164.73,8.53,327.09,76,72,77,14.65,90,42,139,273,51,108,269,377.46,0,145849488,36167328
10/31/2011 23:13,2137.55,8.53,321.87,76,72,77,14.21,90,42,140,280,51,107,269,0,0,145858944,36167328
10/31/2011 23:33,2171.57,8.58,310.4,76,72,77,14.56,90,42,140,277,51,107,269,0,0,145858944,36167328
10/31/2011 23:53,2202.81,8.56,304.31,76,72,77,14.61,90,42,139,277,51,107,269,0,126.04,145858944,36167484
11/1/2011 0:13,2238.43,8.52,304.7,76,71,77,14.74,90,42,140,279,51,107,269,0,105.29,145858944,36169952
11/1/2011 0:33,2268.01,8.53,300.03,75,71,77,15.05,90,42,140,276,51,108,269,425.05,99.48,145859504,36172420
11/1/2011 0:53,2200.5,8.56,293.05,75,71,77,14.87,90,42,139,274,51,107,269,419.27,127.01,145869136,36174828
11/1/2011 1:13,2179.61,8.59,286.13,76,72,77,14.52,90,42,140,276,51,107,268,413.87,0,145878768,36176356
11/1/2011 1:33,2153.31,8.54,285.84,76,71,77,13.89,90,42,140,278,51,107,269,422.74,0,145888400,36176356
11/1/2011 1:53,2162.2,8.52,284.84,76,73,77,13.89,91,42,140,278,51,107,269,0,0,145894160,36176356
11/1/2011 2:13,2183.25,8.58,277.25,76,72,77,14.3,90,42,140,274,51,107,269,0,0,145894160,36176356
11/1/2011 2:33,2212.2,8.56,274.6,76,72,77,14.43,90,42,140,278,51,106,269,0,100.55,145894160,36177048
11/1/2011 2:53,2249.85,8.51,275.76,76,72,77,14.61,90,42,140,279,51,107,269,0,114.76,145894160,36179520
11/1/2011 3:13,2238.75,8.53,272.34,75,71,77,14.56,90,42,140,276,51,107,269,428.71,123.44,145898544,36181956
11/1/2011 3:33,2195.69,8.57,266.51,75,71,77,14.21,90,42,140,274,51,106,269,423.12,107.19,145908192,36184368
11/1/2011 3:53,2164.41,8.6,261.27,76,72,77,14.07,91,42,140,275,50,106,269,391.52,0,145917824,36184668
11/1/2011 4:13,2154.48,8.5,698.95,76,72,77,13.63,88,42,138,275,51,107,268,379,0,145927392,36184668
11/1/2011 4:33,2172.79,8.55,608.35,76,73,77,13.89,86,42,137,275,50,107,266,0,0,145930048,36184668
11/1/2011 4:53,2193.18,8.6,449.29,76,72,77,14.61,87,42,137,276,50,107,267,0,0,145930048,36184668
11/1/2011 5:13,2229.93,8.54,397.9,76,72,77,14.83,87,42,137,276,50,106,267,0,118.6,145930048,36186648
11/1/2011 5:33,2264.89,8.5,377.6,76,72,77,15.14,87,42,137,274,50,107,267,0,121.78,145930048,36189116
11/1/2011 5:53,2222.56,8.56,357.32,75,71,77,15.18,87,42,137,275,50,106,267,421,119.33,145936544,36191548
11/1/2011 6:13,2190.16,8.59,341.88,75,72,77,14.92,86,42,137,275,50,106,267,432.56,0,145946160,36193940
11/1/2011 6:33,2167.55,8.55,335.98,75,72,77,14.43,86,42,137,276,50,107,267,421,0,145955808,36193940
11/1/2011 6:53,2142.79,8.51,333.87,76,73,77,14.03,87,42,137,273,50,106,267,421,0,145965472,36193940
11/1/2011 7:13,2169.87,8.57,322.5,77,73,77,14.25,87,42,137,275,50,106,267,0,0,145966144,36193940
11/1/2011 7:33,2194.11,8.59,311.92,76,73,77,14.7,87,42,137,275,50,106,267,0,0,145966144,36193940
11/1/2011 7:53,2233.26,8.53,309.31,75,72,77,14.83,87,42,138,275,50,106,268,0,71.61,145966144,36196140
11/1/2011 8:13,2262.81,8.54,265.65,75,72,77,15.23,87,42,138,276,50,106,267,0,98.34,145966144,36198620
11/1/2011 8:33,2221.29,8.58,252.17,75,71,77,15.14,87,42,137,276,50,107,267,417.34,84.44,145974000,36201076
11/1/2011 8:53,2189.1,8.6,244.83,76,73,77,14.87,86,42,138,274,49,106,267,415.61,0,145983712,36203200
11/1/2011 9:13,2170.37,8.53,243.05,76,73,77,14.25,87,42,138,278,50,106,267,430.64,0,145993408,36203200
11/1/2011 9:33,2165.92,8.54,234.7,76,73,77,14.03,87,42,137,278,50,106,267,0,0,146001504,36203200
11/1/2011 9:53,2185.92,8.6,225,76,73,77,14.21,86,42,137,275,50,106,267,0,0,146001504,36203200
11/1/2011 10:13,2218.94,8.55,222.44,75,71,77,14.65,87,41,137,274,49,105,266,0,111.2,146001504,36203704
11/1/2011 10:33,2259.61,8.5,220.31,76,72,77,14.87,87,42,137,273,50,105,267,432.95,106.57,146002240,36206172
11/1/2011 10:53,2200.27,8.54,212.06,76,72,77,14.3,87,41,138,275,49,106,267,426.78,123.48,146011824,36208568
11/1/2011 11:13,2166.18,8.58,203.81,76,72,77,13.89,87,41,138,274,49,106,267,426.78,0,146021424,36209256
11/1/2011 11:33,2140.77,8.57,200.88,76,73,77,13.63,86,41,138,275,49,106,267,421,0,146031040,36209256
11/1/2011 11:53,2188.22,8.52,201.68,76,73,77,14.03,87,42,138,275,49,106,267,0,0,146031568,36209256
11/1/2011 12:13,2228.85,8.48,716.96,76,73,77,14.38,85,42,137,273,49,106,266,0,122.61,146031568,36210472
11/1/2011 12:33,2257.18,8.55,605.14,76,72,77,14.87,84,42,136,274,49,106,265,0,133.58,146031568,36212900
11/1/2011 12:53,2219.31,8.59,446.15,75,72,77,14.87,85,42,136,275,44,106,265,380.35,107.85,146039792,36215304
11/1/2011 13:13,2195.53,8.55,392.67,75,72,77,14.87,85,42,135,274,49,106,265,421,133.58,146049488,36217728
11/1/2011 13:33,2172.49,8.49,375.65,76,72,77,14.61,85,42,136,279,49,106,265,421,0,146059152,36217932
11/1/2011 13:53,2169.5,8.56,352.8,76,73,77,14.3,85,42,135,276,49,106,266,0,0,146067136,36217932
11/1/2011 14:13,2188.32,8.6,334.97,77,73,77,14.61,84,42,136,276,49,106,266,0,0,146067136,36217932
11/1/2011 14:33,2229.1,8.54,330.3,76,73,77,15.18,84,42,135,280,49,106,265,0,125.24,146067136,36219832
11/1/2011 14:53,2239.45,8.5,324.99,76,72,77,15.63,84,42,135,278,49,106,265,428.9,131.64,146068944,36222308
11/1/2011 15:13,2201.18,8.55,310.49,75,72,77,15.23,85,42,135,278,49,106,265,434.68,143.22,146078640,36224732
11/1/2011 15:33,2176,8.59,298.29,76,72,77,14.92,85,41,135,278,48,105,265,424.86,0,146088336,36225960
11/1/2011 15:53,2148.99,8.56,291.95,76,72,77,14.56,84,41,135,278,49,106,264,426.78,0,146098000,36225960
11/1/2011 16:13,2173.75,8.51,287.95,76,73,77,14.56,84,41,135,278,48,105,265,0,0,146102720,36225960
11/1/2011 16:33,2198.74,8.57,276.37,76,73,77,14.83,84,41,135,279,48,105,265,0,0,146102720,36225960
11/1/2011 16:53,2231.79,8.57,271.24,76,72,77,15.18,83,41,135,279,48,105,265,0,110.51,146102720,36228356
11/1/2011 17:13,2243.26,8.5,270.59,75,71,77,15.18,84,41,135,274,48,105,264,413.87,96.75,146105680,36230832
11/1/2011 17:33,2202.89,8.52,261.6,75,71,77,15.1,83,41,135,274,48,105,264,421.19,120.99,146115392,36233260
11/1/2011 17:53,2163.3,8.56,250.54,75,71,77,14.52,84,41,135,275,48,104,264,423.12,0,146125120,36234052
11/1/2011 18:13,2138.09,8.59,240.99,75,71,77,14.16,83,41,134,275,48,104,264,417.34,0,146134768,36234052
11/1/2011 18:33,2175.8,8.57,237.46,76,72,77,14.52,83,41,134,273,48,104,264,0,0,146137344,36234052
11/1/2011 18:53,2212.07,8.51,235.04,76,72,77,14.47,83,41,135,276,47,104,264,0,124.38,146137344,36235000
11/1/2011 19:13,2243.05,8.54,228.62,76,72,77,14.65,83,41,134,276,48,104,264,0,111.2,146137344,36237472
11/1/2011 19:33,2230.83,8.58,222.29,76,71,77,14.74,82,41,134,275,47,104,264,423.12,145.57,146141472,36239924
11/1/2011 19:53,2199.71,8.6,218.18,75,70,77,14.47,83,41,134,275,47,103,263,406.55,101.14,146151120,36242336
11/1/2011 20:13,2186.99,8.48,712.99,75,70,77,14.3,80,41,131,276,47,104,262,417.34,0,146160688,36243248
11/1/2011 20:33,2157.61,8.54,612.31,75,71,77,13.98,79,41,130,274,47,103,261,424.86,0,146170224,36243248
11/1/2011 20:53,2188.19,8.6,443.69,77,73,77,14.61,79,41,130,275,47,104,261,0,0,146171168,36243248
11/1/2011 21:13,2222.71,8.54,393.67,76,73,77,14.65,79,41,130,275,47,104,262,0,101.14,146171168,36244596
11/1/2011 21:33,2222.98,8.49,372.68,76,71,77,15.58,79,40,130,273,47,103,261,423.12,104.08,146174752,36247036
11/1/2011 21:53,2189.41,8.55,351.03,75,71,77,14.96,79,40,130,275,47,103,262,430.64,0,146184368,36248832
11/1/2011 22:13,2151.17,8.59,335.15,76,71,77,14.7,79,40,130,276,47,103,261,430.64,0,146194000,36248832
11/1/2011 22:33,2184.59,8.57,325.6,76,72,77,14.65,79,40,130,274,47,103,262,0,0,146195952,36248832
11/1/2011 22:53,2218.2,8.51,322.47,75,71,77,14.87,79,40,130,276,47,103,262,0,100.62,146195952,36250192
11/1/2011 23:13,2246.27,8.54,314.06,76,71,77,14.92,79,40,130,275,47,103,261,0,94.74,146195952,36252664
11/1/2011 23:33,2236.89,8.58,304.05,76,71,77,15.27,79,40,130,275,47,103,261,430.83,131.67,146199056,36255120
11/1/2011 23:53,2205.34,8.55,299.74,76,71,77,15.01,79,40,130,273,47,103,262,428.52,107.26,146208688,36257528
11/2/2011 0:13,2182.84,8.48,300.14,76,71,77,14.52,79,40,130,275,47,103,262,394.8,0,146218304,36258596
11/2/2011 0:33,2155.67,8.53,290.53,76,73,77,14.25,79,40,130,275,47,103,262,379,0,146227952,36258596
11/2/2011 0:53,2176.51,8.58,281.83,77,73,77,14.34,79,40,130,278,47,103,262,0,0,146230240,36258596
11/2/2011 1:13,2209.97,8.56,278.04,76,72,77,14.56,78,40,130,277,47,103,262,0,113.28,146230240,36259192
11/2/2011 1:33,2250.47,8.5,278.53,76,72,77,14.65,79,40,130,278,47,103,261,0,119.36,146230240,36261660
11/2/2011 1:53,2214.53,8.55,270.22,75,71,77,14.87,79,40,130,275,47,103,261,394.8,138.76,146238560,36264076
11/2/2011 2:13,2186.51,8.56,264.53,76,71,77,14.56,79,40,130,276,47,103,261,426.78,0,146248192,36265464
11/2/2011 2:33,2155.8,8.57,260.28,76,72,77,14.34,79,40,130,273,47,103,262,428.9,0,146257856,36265464
11/2/2011 2:53,2154.31,8.58,255.07,77,72,77,13.94,79,40,130,275,47,102,261,0,0,146264304,36265464
11/2/2011 3:13,2184.76,8.6,250.98,76,72,77,14.34,79,40,130,279,47,102,262,0,0,146264304,36265464
11/2/2011 3:33,2224.64,8.52,254,76,71,77,14.3,79,40,130,273,47,102,261,0,96.78,146264304,36267004
11/2/2011 3:53,2259.69,8.52,251.36,75,71,77,14.43,79,40,130,274,47,102,261,526.78,113.31,146264352,36269464
11/2/2011 4:13,2223.16,8.5,704.09,75,71,77,14.34,76,40,128,275,47,101,260,408.29,107.23,146273920,36271856
11/2/2011 4:33,2194.17,8.53,612.02,76,71,77,14.25,75,40,127,274,45,102,260,377.46,108.54,146283456,36274240
11/2/2011 4:53,2172.34,8.55,449.02,76,71,77,14.34,75,40,127,276,45,102,260,421.19,0,146293040,36274756
11/2/2011 5:13,2163.35,8.6,387.81,76,71,77,14.34,76,40,127,273,45,101,260,0,0,146300592,36274756
11/2/2011 5:33,2197.11,8.55,369.73,76,72,77,14.52,75,40,128,275,45,102,260,0,0,146300592,36274756
11/2/2011 5:53,2231.01,8.52,361.27,76,71,77,14.74,76,40,127,275,45,102,259,0,104.7,146300592,36276996
11/2/2011 6:13,2260.42,8.54,351.54,75,71,77,14.92,76,40,127,273,45,102,260,394.99,120.16,146300816,36279496
11/2/2011 6:33,2207.5,8.58,338.92,75,71,77,14.87,75,39,127,273,45,101,260,423.12,92.77,146310544,36281928
11/2/2011 6:53,2186.57,8.56,332.24,75,71,77,14.65,75,40,127,273,45,102,260,394.8,0,146320256,36282940
11/2/2011 7:13,2154.58,8.5,331.73,76,71,77,14.3,76,40,128,273,45,102,260,428.52,0,146329936,36282940
11/2/2011 7:33,2153.19,8.56,322.72,76,71,77,14.34,75,40,127,272,45,101,260,0,0,146337664,36282940
11/2/2011 7:53,2172.34,8.6,313.18,76,72,77,14.61,76,40,128,275,45,101,260,0,0,146337664,36282940
11/2/2011 8:13,2208.69,8.55,312.11,76,71,77,14.56,75,40,128,275,41,102,260,0,92.25,146337664,36283600
11/2/2011 8:33,2242.14,8.51,311.95,76,72,77,14.74,75,40,128,275,116,101,260,393.26,96.72,146338608,36286092
11/2/2011 8:53,2190.6,8.54,306.41,76,71,77,14.74,75,40,128,275,117,101,260,415.61,107.19,146348336,36288528
11/2/2011 9:13,2155.35,8.59,297.67,76,71,77,14.56,76,40,128,273,44,101,260,417.34,0,146358080,36288572
11/2/2011 9:33,2141.77,8.57,294.98,76,73,77,14.21,76,39,128,273,45,101,259,379,0,146367824,36288572
11/2/2011 9:53,2142.38,8.52,295.66,76,72,77,13.98,76,39,128,275,45,101,260,0,0,146375664,36288572
11/2/2011 10:13,2158.52,8.58,288.09,76,72,77,14.21,76,40,128,275,45,101,260,0,0,146375664,36288572
11/2/2011 10:33,2188.09,8.57,284.77,76,72,77,14.34,76,39,128,276,45,100,259,0,0,146375664,36288572
11/2/2011 10:53,2221.33,8.52,283.55,75,71,77,14.56,77,40,128,272,45,101,260,0,111.2,146375664,36290244
11/2/2011 11:13,2217.87,8.54,277.04,75,71,77,12.34,76,40,128,270,83,101,260,389.79,110.51,146378528,36292828
11/2/2011 11:33,2189.83,8.59,266.95,75,71,77,12.38,75,40,128,271,117,100,259,424.86,0,146388672,36294872
11/2/2011 11:53,2157.65,8.55,263.98,76,72,77,11.94,76,39,128,269,117,100,260,426.78,0,146398432,36294872
11/2/2011 12:13,2141.15,8.48,638.58,76,72,77,11.72,74,40,127,266,44,100,259,415.41,114.04,146408016,36296392
11/2/2011 12:33,2158.03,8.56,612.6,76,73,77,12.07,73,39,126,269,44,100,258,0,0,146410736,36298476
